"sample","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"SL242413",0.0578483452084912,0,0.0455306002324943,0,0,0.108743595234923,0.0720840065379812,0.0173827218986034,0,0,0.0448038375623891,0,0,0.362423190750346,0,0.121722532967994,0,0.0120009257747704,0,0.124046967407551,0,0.0334132764244568
"SL242436",0.00737273457347868,0.00981152537824319,0.0101924933530512,0.122081143225139,0,0.331255750905155,0.0486485383622317,0.00181899065705506,0,0,0,0.0360524065660089,0.0366046311260212,0.187949256702842,0.066311244661762,0.0869180757322899,0.00412399215407394,0,0,0.0508592166026474,0,0
"SL242437",0,0.0179932729418871,0.0073274502533494,0.0282804093155731,0,0.113267633533031,0,0.0177681122010146,0,0,0.0588026239227124,0.00601995402026007,0.0011897511794936,0.317236364589267,0.00301298248807289,0.163184796901055,0,0,0,0.205401357699475,0.0116137958783439,0.0489014950764649
"SL242460",0.039680395227718,0.00877251306301821,0.0115575457966928,0,0,0.0929021095925271,0.00220836166321425,0.00287630591389113,0.00138472090951744,0,0.041653576210225,0,0,0.552859072886912,0.00886176708800414,0.151637341022552,0,0,0,0.085606290625728,0,0
"SL242461",0.152229027402502,0,0.0714215246931731,0.03666067401027,0,0.0899489850516786,0.050243577636434,0.00693224278330865,0,0,0.0593551774397818,0.00313070919982958,0.052605909332211,0.372660560123148,0.0100432733448332,0.062213950058024,0,0,0,0.0325543889248062,0,0
"SL242478",0.0178466017823735,0.0112217717504322,0.000472030938208813,0.0460372945838962,0,0.361686884262892,0.0362426565984348,0.00367384377009024,0,0,0,0.035189879505576,0.0251267312762313,0.197189952518948,0.0340975119076287,0.211864946930376,0.00146984986716647,0,0,0.00431639981501298,0,0.0135636444927327
"SL242482",0.0126777328068069,0.0149493069878074,0.00415567177724022,0.00834389851879803,0.0132113836424503,0.0483804629697461,0.0937353058196958,0,0,0,0.0373464046227885,0,0,0.501633001559731,0.0111512532278492,0.115027198232968,0,0,0,0.116996201591687,0.0223921782424311,0
"SL242485",0,0.131494575058669,0.0587483735989249,0.0227840069683731,0.00732545428410955,0.11375660547355,0.0770606136166691,0,0,0,0.0156629023007492,0,0,0.240891068454531,0.0153913076130049,0.11457991825585,0,0,0,0.13989380838736,0.0624113659882087,0
"SL242486",0,0,8.07982372571782e-05,0.0762360706900563,0,0.136101846078483,0.0135638487513668,0,0,0,0.00977147007405015,0,0,0.237466407158823,0.0400119353618175,0.124859809808075,0,0,0,0.358029561723589,0.0038782521164826,0
"SL243549",0,0.0031707760775528,0.000515289162709393,0.0327525813633158,0,0.0853912424197829,0,0.0207103518013584,0.00105399959723071,0,0,0.0359065634679953,0.0921073594903879,0.214804497609223,0.0710339961393998,0.330787874264174,0.00230706301140559,0,0,0.108683229917298,0.000775175678166296,0
"SL243553",0.116257623362425,0,0.0804154536164171,0,0.00201723022211385,0.210597250280962,0.0419719627330086,0,0,0,0.0636956372972503,0,0.0201686140573329,0.172233273390488,0,0.132832319134788,0,0.0013751431798963,0,0.118603313368337,0.0398321793569809,0
"SL243561",0.130986418866929,0,0.143501048333533,0.0158351162740159,0,0.265851659458578,0.0199976802890494,0,0,0,0.0532492423347576,0,0.000251065535493331,0.168435613257719,0.000286002274237104,0.0560595043499372,0,0.00656980883158567,0,0.125888071780314,0.00488617355294968,0.0082025948609014
"SL243565",0,0.00965096529657077,0.0567052789029827,0,0.0229807249813141,0.0835519680987473,0.098120337890093,0,0,0,0.0228397343656442,0,0.0133096316806298,0.0156888330944847,0,0.168175496482083,0,0,0,0.171448508468109,0.156733178275136,0.180795342464206
"SL243574",0,0.00635422465273579,0.0421923604685559,0.00715659179941197,0,0.134555406407089,0.0705908239538663,0.0026857975384929,0,0,0,0.062409550726272,0.0468590852649594,0.268971960806162,0.00986245306356787,0.0942766414765315,0,0,0,0.238877023931562,0.0152080799107935,0
"SL243578",0.105719309453587,0,0.0215314438789885,0.103611205136214,0,0.126240356997591,0.000227806658562018,0.0623675720649014,0,0,0.059351276613073,0,0,0.323826021598672,0.00581964865296007,0.143490252014617,0,0,0,0.0419182943645709,0.00589681256626452,0
"SL243584",0.0212351278177826,0.0283637827202683,0.0146108038317725,0.0497852522448496,0,0.117023926507821,0.199120409692648,0.00201618619361399,0,0,0.0466361332672795,0,0.0383442932122579,0.263482833197273,0.0427813991670909,0.118071111227318,0.0126277867138262,0,0,0.0242718006866882,0.0216291535195101,0
"SL243586",0.171662173389116,0,0.0444315581516437,0.0162524552751214,0,0.28373130238204,0.0136407080646154,0,0,0,0,0.00380350322723505,0,0.236627979086954,0.0102601185989463,0.101350330056269,0,0.000506106228022064,0,0.117733765540037,0,0
"SL243589",0.0537329684509328,0.0323250359034797,0.0184955312947417,0.0698796655528501,0,0.221653751086035,0,0.0338321540587813,0,0,0,0.0455690826037826,0.0167633083134981,0.149045858386744,0.0333536623101514,0.287921758727981,0.00375359922149253,0,0,0.03367362408953,0,0
"SL243591",0.171920067858914,0,0.0555111112665635,0.0861915451548835,0,0.11585533868644,0.0112029805916671,0.0361491160442808,0.0149949503846312,0,0.0138810479411354,0.0148400780195809,0.0112866500941038,0.254036527706718,0.0290629651373595,0.130196689028607,0,0,0,0.0548709320851147,0,0
"SL243602",0.00507857193175641,0.0169167720473698,0.00181403891225501,0.0273054901403633,0,0.219695580953317,0,0.00166082498352536,0,0,0.0653404945331985,0,0.0207520362724593,0.34673274191677,0.00526675482286721,0.144946481344006,0,0,0,0.133372767227981,0.0111174449141302,0
"SL243608",0.0115684379055171,0,0.026493953977794,0,0,0.303170551795421,0,0,0,0,0.07357896724108,0,0,0.303926648532915,0.015248734973636,0.0568492625761695,0,0.0105435810471789,0,0.198619861950289,0,0
"SL243610",0.0212524881878821,0,0.0100407516354022,0.0493032328790217,0,0.11875705604925,0,0.0209305819957879,0,0,0.0331665777241291,0,0,0.38468757946483,0.0361864033463939,0.221136412711428,0,0,0,0.104538916005876,0,0
"SL243612",0.0264990634437766,0,0.00261125956114288,0,0,0.184102576829897,0.000684634510897479,0.00323049524355282,0,0,0.010961229049862,0,0,0.3908836553641,0.0411808269843305,0.215675952069437,0,0,0,0.0895652852467917,0,0.034605021696212
"SL243622",0.00294663644585947,0.000503236151557761,0,0.0475007273982571,0,0.221413395051163,0.0723579984516927,0,0,0,0.0843888771463926,0.0432607067915777,0.17562484455492,0.263223336904952,0.00487757393413619,0.0248326613501719,0.00171694551247885,0,0.0309419032507629,0,0.0264111570560782,0
"SL243625",0.0752167921617299,0,0.0135348911033503,0.0310216865453348,0,0.155802338839241,0.146386506401004,0,0,0,0.0190481527434227,0,0.0143239456242885,0.028858128346962,0,0.433124552574567,0,0,0,0.0371951185041712,0.0454878871559279,0
"SL243645",0,0.318617957621429,0.0908831593872582,0.0174051957001069,0,0.302463784997669,0,0,0,0,0.0361899716261072,0,0,0.124073330601175,0.00372591917540051,0.0476374818241165,0,0.00017231865724143,0.0389034554558984,0.0199274249535978,0,0
"SL243651",0.0296680718272644,0,0.00891870216562146,0.0455598308109513,0,0.286971709099651,0.0579388692239089,0,0,0,0.0836888360329218,0.0167024996862927,0.0939833372821189,0.142168528395354,0.00138541859267482,0.111130741834117,0,0.0478500611039749,0.0106724507833326,0.00117190115622001,0.00946698206047848,0.0527220599451184
"SL243668",0.246721316461342,0,0.214511102297835,0.0212607097246041,0,0.199168420392382,0,0.00518262724684119,0.0161937590260456,0,0,0.00363897790795174,0.0546565856521328,0.10417929710745,0.000225302846691633,0.0214932366446615,0,0,0,0.103094068082919,0.00967459660914355,0
"SL243728",0.125565915764746,0,0,0.0457227835474106,0,0.170471083066666,0.0399817970906139,0.026519087490633,0,0,0.0817914736857697,0,0,0.267067130842402,0.0312721181582122,0.0795359636946123,0,0,0,0.132072646658935,0,0
"SL250152",0.0971385552190343,0,0.0468773638546991,0.124223942162539,0.0518779204397807,0.117680704838136,0.0166649845803381,0.0145790354082902,0,0,0.0545292819579082,0,0.0190891517811267,0.0995401388408202,0.0155266571792786,0.161701621980211,0.0319052205473589,0.0158583280410016,0,0.119037379040947,0.0137697141285302,0
"SL251089",0.0728215991121998,0.0251530385112361,0.151090266443096,0,0.0131629367757048,0.262157953343191,0,0,0,0,0.0690564667962435,0,0.030330155693614,0.110444215032962,0,0.122333759693373,0,0,0.0240502497573572,0.119399358841022,0,0
"SL252387",0.030307465028572,0,0.00430961234657438,0.0190478154797129,0.00301416639681527,0.164858129515947,0,0,0,0,0.0641304580732432,0,0,0.504004623142019,0.00698307560330913,0.154119600818052,0,0,0,0.0383496598123439,0,0.0108753937834117
"SL252527",0,0.0579575322247415,0.0311508072918576,0,0,0.315870085362186,0,0.0157189864390891,0,0,0.0381279629706414,0,0.0616225731538847,0.272284106305966,0.00846296800663368,0.0899995063874713,0,0,0,0.094305953456972,0.0144995184005567,0
"SL252579",0.0252008610288194,0.0352401664276568,0.0719150568190549,0.0544829375316248,0,0.207043278554753,0.0429414302937482,0.014226059272457,0,0,0,0.0188202711102371,0.0525604913400981,0.107701265953402,0.0268148518601038,0.134092895752201,0,0.0509181124026107,0.0722782424499795,0.0656336168665339,0.0201304623367191,0
"SL252585",0,0.0694591969226311,0.0304125557117022,0.0249071503137341,0,0.207673692640408,0,0.0203241984150724,0,0,0,0,0.031283754579899,0.16196903084468,0.0140882283910405,0.0996815631491918,0,0.0100329387987799,0,0.199473943973093,0.049982346920089,0.0807113993396793
"SL252856",0.070229373686791,0.0518855805534545,0,0.0334246460005827,0,0.238263682179172,0,0,0,0,0.0174363577491668,0,0.0200919403215293,0.256314769946759,0.00092944343603856,0.157345164381398,0,0.00327995253998926,0,0.150799089205119,0,0
"SL252858",0.0973026697115857,0.040311138413904,0,0,0.2981100032018,0.0965614157640219,0,0,0,0,0,0.060401902883321,0.101347099766483,0.0217920676797527,0,0,0,0,0,0.22870869213611,0.0438519961385954,0.0116130143044263
"SL253580",0.0729665004046809,0.140262440014517,0,0,0.0317985564272008,0.326380098728071,0.000852274520477387,0.0687244904828762,0,0,0.0808079184016717,0,0,0,0,0.0226124406818988,0,0.0444883182772081,0,0.0477682398097865,0.124837761975667,0.0385009602759442
"SL253588",0,0.284124781316667,0.0198776768720878,0,0.150394749496561,0.155107044780955,0,0,0,0,0.00884167947108972,0.0198430710330526,0.0190870690124773,0.280498629778203,0,0.0337303947978847,0,0,0.0145341266142169,0,0.0139607768268056,0
"SL257363",0.0589443430333983,0.00627440725170986,0,0.0120791753046628,0,0.281823683419059,0,0,0,0,0.0437714642329755,0,0,0.249441137214793,0,0.185904723922387,0.00041283485540536,0,0.0357372037885592,0.125611026977051,0,0
"SL257911",0.0395485909723654,0.0764588263475466,0,0,0.107119465086642,0.104007997250398,0,0,0,0,0,0.106452052965796,0.116840293184793,0,0,0.0143306073307331,0.0121380606168108,0,0,0.294218314706165,0.10060314538636,0.0282826461523909
"SL257950",0,0.172003365473661,0.0361659988128037,0,0.021208454964676,0.0237261167229815,0.00954152707364435,0,0.0118205071178661,0,0.103201401959414,0,0.0150514991729283,0.398497244371449,0,0.0839639377052215,0,0,0,0.124819946625355,0,0
"SL257999",0,0.0363014138945555,0.0591818576861459,0.00912907762695512,0,0.304052604708335,0,0,0,0,0.0142920033519121,0,0,0.296372706145122,0,0.086641089804447,0,0.0654267055685517,0,0.125768079456488,0.00283446175748766,0
"SL258000",0.0406537971310377,0.0298012552803774,0.048366649085371,0,0,0.186910700566603,0.00268868727937581,0.00469341975019956,0,0,0.0394598977251659,0,0.033133708436301,0.276673909049961,0.0144822246637137,0.197677059570798,0,0.0016085770941408,0.123850114366955,0,0,0
"SL258041",0,0.00811273724154938,0.0618017023747303,0.0701305178915647,0.0301703102995495,0.155687024625827,0,0.056943875758756,0,0,0.0851279322497522,0,0.131855182573122,0.311758238038064,0,0.0720607378072491,0,0,0,0,0.016351741139835,0
"SL271818",0.14112193766139,0,0,0.0532398522277902,0,0.361099867393024,0.0141528938729005,0.0749717086699322,0,0,0,0,0.0626436617460859,0.0680742946943635,0.0114500018338319,0.141382277549861,0,0.0345477077879839,0.00222489629417784,0.0350909002686589,0,0
"SL271824",0,0.13886371359751,0.049267163447755,0.0475730968237155,0,0.345886360573225,0.0035506877805663,0.00415454522554846,0,0,0.0354773837205771,0,0,0.128665964753609,0.00704081182834235,0.0858437034185308,0,0.0264559038706095,0,0.111620649952814,0,0.0156000150071973
"SL271833",0.214442677565536,0.0164639336403521,0.00576032425720107,0.0545685288597199,0,0.159181404467538,0.0445012300586767,0,0,0,0.0154851052920459,0,0,0.309528606258874,0.0378407543777081,0.0890277385414188,0,0,0,0.05319969668093,0,0
"SL271843",0.0313913311093945,0,0.0222437911318258,0.00571252906133687,0,0.220558690453489,0.0133696216997961,0,0,0,0.0316516922741043,0,0.0168564789415736,0.261544847148188,0.0126427334474078,0.198011310967183,0.103016490053721,0.0160333056898586,0,0.0666798246539238,0.000287353368197187,0
"SL271874",0.012242883357833,0.00416143835576527,0,0,0.013884126356169,0,0,0.0240094148296902,0,0,0.00609994563450968,0,0,0.0892465996268029,0.0106785163570425,0.0149135623980504,0,0,0,0.380154761310622,0.0229556927789764,0.421653058994539
"SL271920",0.398044572830442,0,0.0267135614778543,0.0183288758144089,0,0.33607731246731,0,0.000522715983585166,0,0,0,0,0,0.177481709783448,0.0054585770162,0,0,0,0,0.0210158797326712,0.0163567948940804,0
"SL310763",0,0.0814949304758707,0.0401928176368825,0.0131741803608602,0,0.267872961930152,0,0,0,0,0,0.0401195038063391,0.0311220923661178,0.108555036320465,0.173445543700017,0.130679232912373,0.000913659604616848,0,0.112430040886306,0,0,0
"SL310778",0,0.0902312558486149,0.0269291659855048,0,0,0.26519965638975,0.021595538400518,0,0,0,0.0438512722800232,0,0,0.319244828321712,0.00824358711099212,0.133532353778232,0,0.000251119257880296,0.0897269977139463,0.00119422491282626,0,0
"SL310783",0.0552697207261689,0,0.00470974431572381,0.0200342645131749,0.0432883762462899,0.241413428499097,0.20489642090678,0,0,0,0.0384443543645819,0,0.00718636615850238,0.127365029197523,0,0.0686396090569695,0,0.0159674210526643,0,0.115832458580539,0.034006724482244,0.0229460818997413
"SL310791",0,0.0327470550048757,0.0410839431306863,0.0413238976787673,0,0.252957100612526,0.0499507522844845,0.0209647892349379,0,0,0.084606310044843,0,0.0253308622880115,0.191289805264161,0,0.0513326756039333,0,0.0227427598977842,0,0.183094481559709,0.00257556739528002,0
"SL310827",0,0.0139196860522533,0.00440908677879315,0,0.0188914670967023,0.1315179362714,0,0,0,0,0.0660030099622584,0,0.00718436049780381,0.157612728450656,0,0,0,0.0143489509122208,0,0.29303799954556,0.144976121930848,0.148098652501505
"SL310828",0,0.0240577827639478,0.00369255094589169,0.0380539487538478,0,0.215832560239278,0.0273793226566148,0.0503161609031664,0,0,0.0195426103485024,0,0,0.424121066474187,0.0580585447103391,0.0510200726472769,0,0.00903888895056296,0,0.073838759429525,0.00504773117685997,0
"SL316694",0.106549651439125,0,0.0709482113119103,0.0403973661570599,0,0.234941771504816,0.0168866505909151,0.0248877730436726,0,0,0.0466431541745202,0,0.0284918135007114,0.234900053006527,0.0473201347084419,0.0762553011376575,0,0,0,0.0655503075348813,0.00622781188976076,0
"SL316700",0,0.0767780442117803,0.0120530569224191,0,0,0.125583315643525,0.0583319210082059,0.0367659383915721,0,0,0,0.0385983398855455,0,0.285997821661831,0.118428922350848,0.0600035723116497,0,0.041508616016528,0,0.145950451596096,0,0
"SL316706",0,0.0028299611031705,0.000373440090211062,0.0116101165143767,0,0.275724525484302,0,0.00790931692951767,0,0,0,0.0285125672647119,0.129930976829108,0,0,0.390723591117827,0,0.0395029800655032,0.0274891545200816,0,0.0853933700811913,0
"SL319189",0,0.127870823048373,0.0313553025249672,0.00921461680763313,0.113949686535988,0.0315039747888373,0,0.0630450752044163,0,0,0.0187952741966108,0.112988675396035,0.00290651278751067,0,0,0.109768154130464,0.00919220285597086,0.061450867125486,0,0.266478569290726,0.00851676499006132,0.0329635003169206
"SL319492",0.0428822483975652,0,0.104020830392179,0,0,0.18111242459786,0,0,0,0,0.0551346406221875,0,0,0.289969718159062,0.00270919524130699,0.122158488598158,0,0.00757207766199514,0,0.177497517864723,0,0.0169428584649624
"SL323007",0.0677925783339079,0.047350157495081,0.00313180988084539,0,0,0.154284901164956,0,0,0,0,0.0583170117847803,0,0,0.43468993764645,0.00347548458035918,0.0421351045545804,0,0,0,0.169834952544796,0.0189880620142445,0
"SL323022",0.00143633151437608,0.00604470933420875,0,0,0,0.113913902334006,0.0589707223159039,0,0,0,0.118758604732016,0,0,0.436166271731413,0.00304048853714479,0.106849060161742,0.00400997252516046,0,0,0.123014544683515,0.0277953921305145,0
"SL323023",0.0353790274187834,0,0.00485997769920844,0,0,0.201152394496181,0,0,0,0,0.0097917441398017,0,0,0.347028877615358,0,0.0242534620018274,0,0.0322320288780119,0,0.329886412874331,0,0.0154160748764966
"SL324452",0.00221752521968456,0.00820005731307564,0,0.0151444808293062,0.00214312030721559,0.023674687171715,0.00229022640855635,0.027689811745212,0,0,0.0266698981483923,0,0,0.519591652534339,0.0483607031412665,0.0405525296400332,0,0,0,0.125688071260615,0.00760652456207181,0.150170711718517
"SL324455",0,0.0722832434418782,0.00352076818546647,1.09159860565089e-05,0,0.0305542979037849,0,0.0127741538666253,0,0,0.115739363817844,0,0.0291106810272562,0.335814187368261,0.0149898768880006,0.178260216512152,0.00943739761034566,0,0,0.177413651853905,0.0200912455384234,0
"SL324456",0.0561141054206065,0,0.142001162468548,0,0,0.0542830323323168,0,0.0277401708005172,0,0,0.0391061740783549,0,0,0.473997311451852,0.0332966329351916,0.130632741728515,0,0,0,0.0428286687840983,0,0
"SL324457",0,0.0833717811120216,0.0882681944174541,0,0.134542391760731,0.050531472266607,0.118376946678693,0.00125422726320218,0,0,0.178988727169277,0,0.0139424635257413,0.100660909893892,0.0660925730342345,0,0,0.0377342936961176,0,0.126236019182028,0,0
"SL324458",0.289740190268955,0.0167894199176343,0.00805663323449173,0,0,0.148511122040969,0,0.0233231622604933,0,0,0.0585893600066191,0,0,0.22017274017554,0,0.0273289302687932,0,0.00519875529611782,0,0.115241545793896,0.0318992222682023,0.0551489184682887
"SL324459",0.1279222803482,0.0716185973753624,0.0374863437179218,0,0.0980532135165879,0.293186582391253,0,0.0218691252143776,0,0,0.11635292169374,0,0.0344302935923653,0.0712685732622648,0,0,0,0.0271031067508007,0,0.0813514542837836,0.0193575078533428,0
"SL324469",0,0.00528364094773198,0,0,0.00967499978830362,0.118748177718271,0,0,0,0,0,0.0279824843013054,0.109962254847833,0.357804298359957,0.00244093194357264,0.187339812856433,0.0367317540857215,0,0,0.136177288580639,0.00785435657023119,0
"SL324470",0.379956264556395,0,0.154961605915614,0.0349764507097555,0,0.188197055457611,0.00775483305927715,0,0.0165189304935174,0,0,0,0.0168497055294826,0.109660059219323,0.0161660466589024,0.0534400897537228,0,0,0,0.0215189586463989,0,0
"SL324471",0.0326795235557662,0,0.0450212727210758,0.0415823742797374,0,0.126743715207976,0.0497262882995605,0.0148640109765722,0,0,0.0330560522589648,0,0,0.356412452315867,0.0430104101395023,0.158151486899063,0,0,0,0.0987524133459145,0,0
"SL324472",0,0.057245423945607,0.0148954243157553,0,0.0319278944757056,0.308230080749066,0,0.012319710523561,0,0,0.0323018280381765,0.0200086825593903,0.081601478242149,0.153072306993101,0.0247455001779253,0.152468391369335,0,0,0,0.0593859817115773,0.0517972968986514,0
"SL324473",0.180906619109865,0.158869373627041,0.0257494257639419,0.0275604150807241,0.0231895296724414,0.0505570517048152,0.000473806932285868,0.0650819370155134,0,0,0.0325224722896977,0,0.00152283537940945,0.241475691152912,0.0112481924899242,0.0836320989246576,0,0.000396337171920092,0,0.0850475122685601,0.0117667014162898,0
"SL324474",0,0.024417921048794,0,0,0,0.111489688977346,0,0.00598505835250403,0.00155510531831375,0,0.0586811637739455,0,0,0.358969981417004,0.0219683448665678,0.0340255295283773,0,0,0,0.237270302538567,0.0332839087580595,0.112352995420521
"SL324475",0,0.0309147642654391,0.0166057396188227,0.0881233320160479,0.021297960018765,0.02419107016123,0.0521494875257849,0.0242648124126677,0,0,0,0.165830967298127,0.00784811830559377,0.070652331722878,0.1722628720043,0.217822754314613,6.45949631184667e-05,0,0,0.101794642573101,0,0.00617655279951106
"SL324476",0.00296649115057022,0.0325308718830041,0.0146880389162485,0.0500788550922592,0,0.302380520543634,0.00824381163427836,0,0,0,0,0.011840436082019,0.0110061732684513,0.139183069321886,0.054809118873392,0.196237666202671,0.0151175315981228,0,0,0.0988276658039642,0.0392368336347871,0.0228529159947124
"SL324479",0,0.114391127159958,0.0970322149298732,0,0.015406819704325,0.062486315925558,0.0324909504709721,0,0,0.00472071831223378,0.0364370828376137,0,0,0.459595710412974,0.0196081616070502,0.112063666108422,0,0,0,0.0457672325310208,0,0
"SL324482",0.261811259760946,0,0.117818218157527,0.0969351081420095,0,0.216760657816426,0,0.0032442869074859,0,0,0,0,0.0287231702119071,0,0,0,0,0.0106405949302007,0,0.260933907198562,0.0031327968749354,0
"SL324483",0,0.0796379656105841,0.0131610345515368,0.00883871834901031,0.00958105407062109,0.154939651267262,0.0469677050288847,0,0,0,0.0271967552643009,0,0.00588524734352971,0.336382627877412,0.0162909042978737,0.200655840844068,0,0,0,0.0777652692835413,0.0226972262113745,0
"SL324484",0.00705382296692649,0.000225153712587806,0.00285809022208334,0,0,0.048622145839636,0,0.0172386203387082,0.0153732471657402,0,0.0423342360983376,0,0,0.580655973646397,0.010179070366263,0.158595829096939,0,0,0,0.116863810546382,0,0
"SL324485",0,0.0169663292301176,0.0430685654348033,0.0621997760474638,0,0.138831829087126,0.0258375861444442,3.48282259800344e-06,0,0,0.00893977008224326,0.0250312613405898,1.59067399867964e-05,0.188297527730472,0.100789127378644,0.150391395357212,0.00357551238225769,0,0,0.219263134243328,0.0116257238842215,0.00516307209449115
"SL324486",0.0451046986603151,0,0.00129455869954823,0.0559767136810636,0,0,0.0348007253292339,0.0390993458428574,0.0360238225366815,0,0.00360375606639004,0,0,0.539758681498983,0.0492558987467112,0.180632714808294,0,0,0,0.0144490841299212,0,0
"SL324487",0,0.0192111859317582,0.071481558197824,0.0123794598417535,0,0.104416354079477,0.163926417843053,0.00307775564635065,0,0,0,0.0531876739925699,0,0.314882889849779,0.0591134954538164,0.132243412953722,0,0,0,0.0635520597891808,0.00192596790116883,0.000601768519545726
"SL324501",0.0135566762380255,0,0.0150576717649606,0.00106544211928305,0,0.0609871260782112,0.0348302278480599,0.00494151065571546,0,0,0.0606086657093525,0,0,0.444901988309857,0.000648327600602789,0.207601586094538,0,0,0,0.155800777581394,0,0
"SL324503",0.000984567276071994,0.0123764231664822,0.00193946285381243,1.50033439973899e-05,0,0.0320609044245934,0.0291504884408283,0.0189482960934565,0,0,0,0.0425557475804201,0,0.533247222026192,0.0788976821348495,0.185198671776228,0,0,0,0.0646255308830687,0,0
"SL324504",0.0111871944121835,0.0127064916042341,0.00858274657558799,0.0292441085565623,0,0.114044018161349,0.000478278408558443,0,0,0,0.0357331262128914,0,0,0.517536280671029,0.0048333885931453,0.0786051052242952,0,0,0,0.156771774787312,0.0302774867928518,0
"SL324506",0,0.0449006528621121,0.025612400734245,0,0,0.18306020600046,0.00639999523922483,0.0214848370082403,0,0,0.0642229375963932,0,0.00790057435210088,0.420654849344395,0.00433345884232589,0.0441547322274263,0,0,0,0.16258087476536,0.00660760951743702,0.00808687151027986
"SL324507",0,0.00839954596002957,0,0,0,0.0365695017592501,0,0,0.0339959569874582,0,0.109652078844174,0,0,0.419433314615486,0,0.14831033776323,0,0,0,0.243639264070372,0,0
"SL324514",0.00742246719085781,0.00304438577305517,0,0,0,0.163007317013208,0,0.0161149404812458,0.0170894605354876,0,0.0613827294370953,0.0153251749753691,0,0.641318921775543,0,0.0418124981483904,0.00307333750175994,0,0,0.0157806228170271,0.0146281443509612,0
"SL324518",0.0797465692464823,0,0.00485080015493084,0.0284544853371456,0,0.0744198687894174,0.187137159317787,0,0,0,0,0.0377521899351932,0.00600217056605005,0.0350176228091146,0.0901069571304171,0.19155550295821,0.102842034325024,0.0521639646239068,0,0.0512636130131942,0.0586870617931269,0
